Benefit per order,Sales per customer,Latitude,Longitude,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Product Price,Product Status,is_holiday_window,is_weekend_order,Shipping_mode_risk,customer_total_orders,customer_late_rate,customer_avg_delay_gap,Price Tier,Market_encoded,Order Region_encoded,Customer Segment_encoded,Department Name_encoded,Shipping Mode_encoded,Type_encoded,Order Status_encoded
-0.027974866,-0.14480966,0.03929337,-0.05709399,-0.06259227,-0.028864045,0.029773721,-0.016466571,0.0014610869,0.012907827,0.01056525,-0.00839154,0.0027729105,0.0,0.0023549127,0.030237403,-0.6802448,-0.008397263,0.20055376,-0.05448988,0.0,0.014416643,-0.10654654,-0.028152479,-0.0035733029,-0.13066968,-0.006510743,0.0942689
0.012785404,-0.00027936418,0.03973006,-0.03461846,0.026685227,0.0010962962,0.0028589154,0.0072704507,0.0016226567,0.016055075,-0.008318814,0.032393295,-0.002272921,0.0,0.0022673602,0.021834297,-0.68185586,0.0025333762,0.19671494,-0.023902612,0.0,0.006397219,-0.15319455,-0.010031908,0.0007482094,-0.12833779,-0.0011874284,0.10353234
-0.03439341,-0.00685821,-0.025879731,0.01801674,-0.020410044,-0.025510082,0.0039011443,-0.005977253,-0.0069873943,0.00043071675,-0.0008904274,-0.0063350294,0.0017255311,0.0,-0.002028856,-0.017969994,-0.63201654,-0.02931765,1.4714453,0.03522764,0.0,0.010840739,-0.02952861,0.0016047105,-0.005489384,-0.101320095,0.004533117,0.114459634
-0.018806709,0.053645633,-0.02918037,0.021315677,-0.010240787,-0.017714633,0.005392775,-0.009034267,0.010366733,-0.03742782,-0.003968411,-0.0027808324,-0.001461258,0.0,-0.0010319893,0.014409933,-0.60173374,0.02427041,0.90731275,0.1583499,0.0,0.0066645085,0.046719763,0.010447076,-0.002100593,-0.09320562,-0.0004958286,0.110636204
0.060823184,0.004649021,-4.1820953e-05,0.05198677,-0.006539502,-0.011469739,0.02660133,-0.060868677,0.005565797,-0.004140524,-0.011496449,-0.013718009,0.0042929677,0.0,-0.0067163245,0.011772395,-0.59148955,0.018028706,0.9374399,0.16804376,0.0,0.013642502,0.052854028,0.008109444,-0.003205072,-0.09098689,0.0014216225,0.08955492
0.026429776,-0.008879266,-0.0319819,0.022356495,-0.027086869,0.0003901767,-0.0028545388,-0.016515747,-0.0031361158,0.0037731533,-0.0017001107,0.008137808,-0.0025252558,0.0,-0.00065476017,0.012556435,-0.60037607,0.022553455,0.9030959,0.15025014,0.0,0.0061841668,0.050630488,0.010224746,0.0006635068,-0.09229756,-0.0018507215,0.10816314
0.0036284048,-0.00020023611,-0.046217006,0.016430711,0.07640753,-0.009422542,-0.034749687,-0.14151168,-0.017387072,-0.0007653064,-0.0060864757,0.0030384227,-0.011430436,0.0,-0.00034196686,0.010154917,-0.5958408,0.02167043,0.8884265,0.17522977,0.0,0.012576425,0.04521679,0.0023105685,0.06170343,-0.09406875,-0.005934401,0.11102465
-0.02037884,-0.00061738724,-0.016891161,-0.023110013,-0.017515428,0.00406112,0.004059821,-0.019715192,0.0023991948,0.0050271824,-0.004559055,-0.0012154073,0.0005159735,0.0,0.010137958,0.00010712678,-0.73023915,-0.0010516183,-0.3399912,-0.20727682,0.0,-0.005660291,-0.056330487,0.00363986,-0.0007664353,-0.17052066,0.000994268,0.11945016
0.008074488,0.007372647,-0.018154755,-0.01664468,-0.02138051,-0.0019231326,-0.009434511,0.02461391,-0.0021374,0.0050990917,-0.00012244965,0.004000033,0.00045382057,0.0,0.010755698,-0.0066314056,-0.7290965,-0.00064947375,-0.3136479,-0.14048679,0.0,-0.0020321088,-0.04267664,0.0044270214,-0.0020541553,-0.17318633,0.00033655207,0.11951919
-0.014504866,0.18079136,-0.068403825,-0.04447619,0.014866374,0.024577513,-0.008994615,-0.029920248,0.012153055,-0.1665567,0.06459332,0.0059819203,0.0051567084,0.0,0.011961586,-0.0025043294,-0.72084415,-0.00024875585,-0.3416307,-0.15037733,0.0,-0.005676408,-0.046645448,0.015242856,0.0054822774,-0.1823795,0.015109953,0.13232929
